"Rose","Ferguson","MAT PUNCHER"
"Dominic","Carr","FIRE-CONTROL MECHANIC"
"Stephen","Bailey","METAL FABRICATOR"
"Robert","Marshall","CHERRY-PICKER OPERATOR"
"Faith","Fisher","COATING-MIXER TENDER"
"Vanessa","Howard","SLASHER TENDER"
"Anthony","Lawrence","FIREWORKS DISPLAY SPECIALIST"
"Maria","Jackson","SUPERVISOR, REPULPING"
"Sue","Walker","VARNISHING-UNIT TOOL SETTER"
"Alexander","Butler","SUPERVISOR, CREDIT AND LOAN COLLECTIONS"
"Zoe","Roberts","EAR-MOLD LABORATORY TECHNICIAN"
"Diane","Blake","SEWAGE-DISPOSAL WORKER"
"Amelia","Graham","FACILITY EXAMINER"
"Tracey","Berry","BEAD-FORMING-MACHINE OPERATOR"
"Victor","Campbell","CONVEYOR OPERATOR, PNEUMATIC SYSTEM"
"Ava","Young","DOG BATHER"
"Stephen","Bailey","CARBIDE-POWDER PROCESSOR"
"Ava","Avery","BARREL POLISHER, INSIDE"
"Nicola","Wilkins","DISPATCHER, CONCRETE PRODUCTS"
"Brian","Langdon","IMMIGRATION INSPECTOR"
"Chloe","Gibson","TOW-TRUCK OPERATOR"
"Vanessa","May","RUG-DRYING-MACHINE OPERATOR"
"Nicholas","Davidson","DRY-PRESS-OPERATOR HELPER"
"Jacob","Davidson",""
"Max","Hudson","REEL ASSEMBLER"
"Sue","Gray","SUPERVISOR, HYDROCHLORIC AREA"
"Neil","Wright","PULLER AND LASTER, MACHINE"
"Rachel","Bell","INTERLINE CLERK"
"Justin","Robertson","SAFETY-CLOTHING-AND-EQUIPMENT DEVELOPER"
"Faith","Morrison","ACCORDION MAKER"
"Carol","Mills","SOFT CRAB SHEDDER"
"Alexandra","Langdon","SPRING LAYER"
"Lillian","Blake","SUPERVISOR, POND"
"Abigail","Edmunds","ACID SUPERVISOR"
"Bernadette","Churchill","EXPERIMENTAL ASSEMBLER"
"Maria","Nolan","CANVAS REPAIRER"
"David","Poole","HIDE TRIMMER"
"Grace","Wilson","LAND-LEASING EXAMINER"
"Leonard","Newman","PRODUCTION COORDINATOR"
"Robert","Hemmings","PRESS TENDER"
"Keith","Bower","DRESSER"
"Christopher","Gill","PRESSURE SEALER-AND-TESTER"
"Dan","Ogden","WEEDER-THINNER"
"Brian","King","INSTRUCTOR, BRIDGE"
"Amelia","Oliver","EXHIBIT BUILDER"
"Tim","Mathis","TROPHY ASSEMBLER"
"Jennifer","Wilkins","DRAWER LINER"
"Dan","Powell","RUG-DRY-ROOM ATTENDANT"
"Thomas","Oliver","PLUG CUTTER"
"Melanie","Turner","SUPERVISOR, PROCESSING"
"Keith","Butler","LINEN-ROOM SUPERVISOR"
"Sebastian","Oliver","BATTALION CHIEF"
"Penelope","Newman","BEAD STRINGER"
"Liam","Peake","PNEUMATIC-HOIST OPERATOR"
"Donna","Miller","METAL FINISHER"
"Connor","McGrath","COOPER HELPER"
"Isaac","White","SUPERVISOR, MAPLE PRODUCTS"
"Joseph","McGrath","DIP-LUBE OPERATOR"
"Andrea","Piper","DIRECTOR OF PLACEMENT"
"Karen","Newman","SALES REPRESENTATIVE, CANVAS PRODUCTS"
"Jessica","Hart","CORROSION-CONTROL FITTER"
"Gabrielle","Ellison","PUNCH PRESS OPERATOR"
"Deirdre","Tucker","SUPERVISOR, PREPARATION PLANT"
"Sue","Sutherland","SUPERVISOR, CELL-EFFICIENCY"
"Lily","Hudson","SHOT-GRINDER OPERATOR"
"Caroline","Black","FURNACE TENDER"
"Heather","Dowd","LAMINATOR, PREFORMS"
"Karen","Walker","TREATER"
"Alison","MacDonald","SAND PLANT ATTENDANT"
"Stephen","Smith","BUTTERMAKER, CONTINUOUS CHURN"
"Dan","Springer","BREAK-OFF WORKER"
"Ava","Hardacre","SUPERVISOR, VEGETABLE FARMING"
"Sebastian","Robertson","PROTECTOR-PLATE ATTACHER"
"Paul","Hart","POWDER WORKER, TNT"
"Piers","Welch","LINE-OUT WORKER I"
"Stephen","Newman","SALES REPRESENTATIVE, TEXTILES"
"Theresa","Kerr","PLANISHING-PRESS OPERATOR"
"Emily","Grant","SUPERVISOR, KNITTING II"
"Piers","Terry","PRESS OPERATOR"
"Gavin","Kelly","VETERINARY EPIDEMIOLOGIST"
"Dylan","Mackenzie","GAS-TRANSFER OPERATOR"
"Trevor","Hart","CRYSTALLOGRAPHER"
"Jacob","Hudson","SALES REPRESENTATIVE, RECREATION AND SPORTING GOODS"
"Jake","Vaughan","LOOSE-END FINDER, BOBBIN"
"Kylie","Coleman","SUPERVISOR, SULFURIC-ACID PLANT"
"Joe","Sanderson","GRAY-CLOTH TENDER, PRINTING"
"Alison","Buckland","CHIEF BANK EXAMINER"
"Audrey","Metcalfe","WHEAT CLEANER"
"Ava","Dickens","TURNING-SANDER TENDER"
"Tracey","Morrison","MAINTENANCE-REPAIRER HELPER, INDUSTRIAL"
"Kylie","Allan","ASSEMBLER, MOVEMENT"
"Sean","Hemmings","SPOOLING-MACHINE OPERATOR"
"Donna","Robertson","STAPLER, HAND"
"Kevin","Short","PUNCH-PRESS OPERATOR"
"Evan","Peake","AIRPORT-MAINTENANCE CHIEF"
"Joe","Hart","COLLAR FELLER, HANDSTITCHING MACHINE"
"Simon","McDonald","GUIDE, PLANT"
"Andrea","Underwood","RATER"
"Lillian","Reid","FISH-CAKE MAKER"
"Dan","Duncan","SOAP MAKER"
"Emma","Ferguson","LAUNDRY OPERATOR"
"Max","Gibson","AMALGAMATOR"
"Trevor","Mills","SUPERVISOR, WET END"
"Ava","McLean","AIRCRAFT-LOG CLERK"
"Dan","Robertson","SUPERVISOR, RIGHT-OF-WAY MAINTENANCE"
"Robert","Rampling","DEBUBBLIZER"
"Luke","Forsyth","MAT PACKER"
"Nicola","Metcalfe","PHOTO MASK PATTERN GENERATOR"
"Piers","Walker","EDITOR, CITY"
"Dylan","Hudson","TOOTH CUTTER, ESCAPE WHEEL"
"Tim","Henderson","INDUSTRIAL-GAS SERVICER"
"Christian","Hart","SHOTGUN-SHELL-ASSEMBLY-MACHINE OPERATOR"
"Faith","Bower","LEAD-OXIDE-MILL TENDER"
"Gavin","King","NOTCH GRINDER"
"Peter","North","LINER-MACHINE OPERATOR"
"Neil","Quinn","FRUIT-BAR MAKER"
"Piers","Hudson","SAFETY MANAGER"
"Liam","Black","CREPING-MACHINE-OPERATOR HELPER"
"Steven","Walker","INSECTICIDE MIXER"
"Alexander","Brown","DIFFUSER OPERATOR"
"Ruth","Bailey","PARK NATURALIST"
"Diane","Churchill","DOWEL-INSERTING-MACHINE OPERATOR"
"Jane","McLean","CUTTING-MACHINE FIXER"
"Sonia","Hemmings"," "
"Victor","Walsh","GENERAL HELPER"
"Carolyn","Berry","COCOA-BEAN ROASTER II"
"Luke","White","CHUCKING-MACHINE SET-UP OPERATOR, MULTIPLE SPINDLE, VERTICAL"
"Colin","Rees","DISC JOCKEY"
"Jan","Hughes","TELEGRAPHER AGENT"
"Rose","James","EVAPORATOR OPERATOR I"
"Paul","Sutherland","SMOKING-PIPE MAKER"
"Natalie","Oliver","LINEN-SUPPLY LOAD-BUILDER"
"Gavin","Sanderson","SHREDDER OPERATOR"
"Hannah","Kerr","BUFFING-MACHINE TENDER"
"Ruth","Lambert","FELTING-MACHINE-OPERATOR HELPER"
"Wendy","Bower","FINAL INSPECTOR, MOVEMENT ASSEMBLY"
"Kevin","Quinn","MICROBIOLOGY TECHNOLOGIST"
"Grace","Hemmings","SUPERVISOR, TANK HOUSE"
"Neil","Langdon","TIPPLE OPERATOR"
"Stewart","Poole","BAGGER"
"Jennifer","Sanderson","REPAIRER, HEAVY"
"Trevor","Springer","CABIN-EQUIPMENT SUPERVISOR"
"Julia","Terry","SHREDDING-FLOOR-EQUIPMENT OPERATOR"
"Julia","Ferguson","MICROFICHE DUPLICATOR"
"Victor","Piper","COUPON CLERK"
"Heather","Hamilton","EXAMINER"
"Lucas","Anderson","FUR-MACHINE OPERATOR"
"Maria","Young","SUPERVISOR, POULTRY FARM"
"Amanda","Powell","TWISTER TENDER, PAPER"
"Steven","Grant","DEMONSTRATOR, ELECTRIC-GAS APPLIANCES"
"Sam","Davidson","ELECTRIC-FORK OPERATOR"
"Natalie","Blake","WET-END OPERATOR I"
"Julia","Avery","DIRECTOR, SOCIAL"
"Bella","Slater","SUPERVISOR, BONDING"
"Molly","Wilkins","SUPERVISOR"
"John","Newman","CANDLE WRAPPING-MACHINE OPERATOR"
"Heather","Ferguson","ELECTRICIAN"
"Faith","Oliver","KENNEL MANAGER, DOG TRACK"
"Jan","McLean","HOSE WRAPPER"
"Madeleine","Grant","ACCELERATOR OPERATOR"
"Leah","Randall","SHRINK-PIT OPERATOR"
"Brian","Parr","CURING-PRESS MAINTAINER"
"Una","Buckland","STARCHMAKER"
"Stephanie","Mitchell","YARN-POLISHING-MACHINE OPERATOR"
"Owen","Allan","FIRE LOOKOUT"
"Ruth","Ross","HEAD SAWYER, AUTOMATIC"
"Christopher","Lyman","TUMBLER OPERATOR"
"Trevor","Jackson","TACK PULLER"
"Claire","Kelly","ROLL GRINDER"
"Deirdre","Kelly","COLOR MATCHER"
"Brandon","Davies","CHOREOGRAPHER"
"Diana","Black","CLIPPER"
"Ian","Kerr","SILVICULTURIST"
"Julian","Lee","SUPERVISOR, EXTRUSION"
"Audrey","Grant","PAD-EXTRACTOR TENDER"
"Adam","Murray","FLASHER ADJUSTER"
"Stephanie","Wilkins","ROAD SUPERVISOR"
"Lily","Clark","COLLECTOR"
"Tracey","Newman","SPRING LAYER"
"William","Underwood","INSTRUMENT MECHANIC, WEAPONS SYSTEM"
"Trevor","Welch","FORCE-VARIATION EQUIPMENT TENDER"
"Wanda","Sanderson","DANCER"
"Dylan","Ellison","STRIPPER"
"William","Parr","INVESTIGATOR, FRAUD"
"Alexandra","Wilkins","ZIPPER-MACHINE OPERATOR"
"Leonard","Smith","SUPERVISOR, VAT HOUSE"
"Faith","Rampling","SUPERVISOR, LEAD REFINERY"
"Emily","Stewart","PACKAGE-DYEING-MACHINE OPERATOR"
"Liam","Greene","BARREL-CAP SETTER"
"Keith","Clark","PACKER, DENTURE"
"Austin","White","MANAGER, TRAFFIC II"
"Cameron","Vance","ASSEMBLER, FILTERS"
"Irene","Robertson","HYDRAULIC-PRESS OPERATOR"
"Connor","Terry","RIDDLER OPERATOR"
"Piers","Bailey","FINAL INSPECTOR"
"Jason","Bond","SALES REPRESENTATIVE, SECURITY SYSTEMS"
"Richard","Newman","PATTERNMAKER, METAL"
"Ella","Bower","LABORER, GOLD LEAF"
"Amelia","Graham","FELTMAKER AND WEIGHER"
"Sean","Wilson","LINING CEMENTER"
"Edward","Fraser","MAGICIAN"
"Sonia","Sutherland","WELD INSPECTOR I"
"Madeleine","Glover","LATHE SANDER"
"Harry","Abraham","CONVERTER SUPERVISOR"
"Connor","Edmunds","GROUND MIXER"
"Olivia","Dickens","BULB FILLER"
"Christopher","Forsyth","FINISHER OPERATOR"
"Ian","Johnston","MECHANICAL-DESIGN ENGINEER, FACILITIES"
"Anthony","Thomson","FOUNDRY LABORER, COREROOM"
"Sue","Hunter","STOCK CHECKERER I"
"Caroline","Hodges","HYDRAULIC PRESS OPERATOR"
"Sebastian","Welch","CLOTH MEASURER, MACHINE"
"Sonia","Parsons","SALES REPRESENTATIVE"
"Anne","Jackson","POWER-SAW MECHANIC"
"Jacob","Gibson","CHRISTMAS-TREE GRADER"
"Michael","Dickens","ROLLER REPAIRER"
"Irene","Payne","SALES REPRESENTATIVE, BUILDING EQUIPMENT AND SUPPLIES"
"Charles","Black","CLEAN-RICE BROKER"
"Phil","Bond","SALES REPRESENTATIVE, ULTRASONIC EQUIPMENT"
"Mary","Mathis","PIT SUPERVISOR"
"Harry","Abraham","ORDER CLERK, FOOD AND BEVERAGE"
"William","Sutherland","RETORT-OR-CONDENSER PRESS OPERATOR"
"Amy","Bell","FINISHING SUPERVISOR, PLASTIC SHEETS"
"Gavin","Manning","SUPERVISOR, PARTICLE BOARD"
"James","Mitchell","DECATING-MACHINE OPERATOR"
"Ella","Gray","TARRING-MACHINE OPERATOR"
"Joe","Buckland","TEACHER, VOCATIONAL TRAINING"
"Ian","Russell","TEACHER, PHYSICALLY IMPAIRED"
"Alexander","Skinner","BUCKLE INSPECTOR"
"Leah","Chapman","SKINNER"
"Jasmine","Butler","SLAB GRINDER"
"Colin","Wallace","UMBRELLA FINISHER"
"Peter","Terry","DOG BATHER"
"Cameron","Payne","TRANSMISSION MECHANIC"
"Molly","Duncan","ENGRAVER, SEALS"
"Eric","Clark","DRYING-UNIT-FELTING-MACHINE OPERATOR"
"Stephanie","Mitchell","FOLDER, HAND"
"Lucas","Tucker","ELECTROTYPER"
"Diana","Slater","CONCRETE SCULPTOR"
"Julian","May","SPOT PICKER, MOLDED GOODS"
"Richard","Sharp","CHARGE-MACHINE OPERATOR"
"Zoe","Cameron","AUTOMATIC LUMP MAKING MACHINE TENDER"
"Dorothy","Sanderson","ELECTRICAL-INSTALLATION SUPERVISOR"
"Gavin","King","BOAT-OAR MAKER"
"Angela","Mitchell","FUR IRONER"
"Paul","Oliver","ENDING-MACHINE OPERATOR"
"Trevor","Hudson","  Click here for Careers that match your Personality   "
"Stephanie","Brown","BULKER"
"Samantha","Vaughan","SUPERVISOR, HIDE HOUSE"
"Isaac","White","SPREADER"
"Andrea","Ross","CLOTH GRADER"
"Isaac","White","PROCESSOR, INSTANT POTATO"
"Emily","Murray","BUFFER, MACHINE"
"Wanda","King","ENVIRONMENTAL EPIDEMIOLOGIST"
"Tracey","Newman","INSPECTOR"
"Richard","McDonald","LINING MAKER, LOCKSTITCH"
"Adrian","Wright","STIFFENER"
"Colin","Terry","PATCHER"
"Julia","Jackson","MOTOR-GRADER OPERATOR"
"Victor","Hunter","PITCH WORKER"
"Alison","Chapman","KNITTER, WIRE MESH"
"Alexander","Carr","COKE-CRUSHER OPERATOR"
"Gavin","Payne","TRIMMING-MACHINE OPERATOR"
"Liam","Turner","BALLOON DIPPER"
"Adrian","Murray","STITCHER"
"Faith","James","PAINTER, SPRAY II"
"Emily","Bond","PARTITION-MAKING-MACHINE OPERATOR"
"Dorothy","Metcalfe","TIE INSPECTOR"
"Oliver","Campbell","POWDER-TRUCK DRIVER"
"Megan","Fisher","BALLPOINT PEN CARTRIDGE TESTER"
"Evan","Carr","RAVELER"
"Ryan","Russell","MOLD LAMINATOR"
"Felicity","Davies","RADIOLOGICAL-EQUIPMENT SPECIALIST"
"Jan","Sharp","WATER-METER INSTALLER"
"Andrew","White","TUBE COVERER"
"Paul","King","COAL-EQUIPMENT OPERATOR"
"Alexander","Graham","PERSONAL SHOPPER"
"John","Brown","TRUST-VAULT CLERK"
"Theresa","Clark","SILK SPREADER"
"Olivia","Watson","BINDING CUTTER, SYNTHETIC CLOTH"
"Nicola","Hunter","PLANT ENGINEER"
"Nicola","Gill","WEAVING SUPERVISOR"
"Victoria","Avery","BLASTING-CAP ASSEMBLER"
"Cameron","May","MIXING-MACHINE OPERATOR"
"Alexandra","Ellison","TEST DRIVER II"
"Boris","Nolan","WOOD-HEEL FINISHER"
"Rose","Black","CUTTER, MACHINE II"
"Richard","Underwood","BANDER, HAND"
"Audrey","Wright","HORSE TRAINER"
"Stephen","Bell","FILTER TENDER, JELLY"
"Evan","Rampling","STENCIL MAKER"
"Caroline","Churchill","INDUSTRIAL-GAS FITTER"
"Jessica","Paterson","SUPERVISOR, GREEN END DEPARTMENT"
"Grace","Mackay","PAINTER, SPRAY I"
"Keith","Wilkins","WELDING-MACHINE OPERATOR, FRICTION"
"Gavin","Sanderson","CABLE TELEVISION LINE TECHNICIAN"
"Benjamin","Sutherland","ASSEMBLER, TYPE-BAR-AND-SEGMENT"
"Adrian","Poole","BIT SHAVER"
"Lily","Hudson","LAPPER, HAND, TOOL"
"Jack","Hardacre","BLOCKER"
"Amy","MacLeod","LOG SCALER"
"Lisa","Dowd","LUGGAGE REPAIRER"
"Dominic","Brown","TOBACCO CURER"
"Megan","Gill","INSTRUMENT MECHANIC, WEAPONS SYSTEM"
"Adrian","Powell","AIRCRAFT MECHANIC, ELECTRICAL AND RADIO"
"Fiona","Wilson","TOBACCO-SAMPLE PULLER"
"Oliver","Campbell","ROUTER"
"Fiona","Dowd","BOAT-OAR MAKER"
"Amy","Murray","WEAVER"
"Thomas","Clark","TERRAZZO-WORKER APPRENTICE"
"Pippa","Randall","SUPERVISOR, BOILER REPAIR"
"Luke","Black","ASSEMBLER, INTERNAL COMBUSTION ENGINE"
"Ian","Rampling","DRAFTER, ASSISTANT"
"Joe","Harris","CLEANER, COMMERCIAL OR INSTITUTIONAL"
"Nicola","Newman","SCREEN CLEANER"
"Joe","Black","BOILER"
"Julian","Kerr","FLOOR BROKER"
"Mary","Paterson","INSPECTOR, BARREL"
"Jason","Anderson","TESTER, MOTORS AND CONTROLS"
"Rachel","McGrath","SUPERVISOR I"
"Evan","Kerr","DIVER"
"Carol","Langdon","SUGGESTION CLERK"
"Joe","Parr","PATTERN-LEASE INSPECTOR"
"Cameron","Martin","SERVICE CLERK"
"Dominic","Dyer","LEGAL INVESTIGATOR"
"Julian","Kerr","LABORATORY ASSISTANT, BLOOD AND PLASMA"
"Isaac","Churchill","FISH-BIN TENDER"
"Una","Ellison","CHOKE REAMER"
"Piers","Mills","CD-REACTOR OPERATOR"
"Liam","May","TABLE TENDER"
"Matt","Morgan","DEEP SUBMERGENCE VEHICLE CREWMEMBER"
"Alexander","Sharp","CASING-IN-LINE FEEDER"
"Blake","Ogden","PARKING LOT SIGNALER"
"Sophie","Jackson","ELECTRICAL ENGINEER"
"Stephen","Peters","INSPECTOR, WOODWIND INSTRUMENTS"
"Gavin","Lee","COCOA-BEAN CLEANER"
"Angela","Peters","SINTER FEEDER"
"Steven","Burgess","ACCELERATOR OPERATOR"
"Julia","Baker","TELEGRAPH-SERVICE RATER"
"Tim","Davies","HOGSHEAD INSPECTOR"
"Connor","Mills","RUBBER-GOODS CUTTER-FINISHER"
"Heather","Peake","INSERVICE COORDINATOR, AUXILIARY PERSONNEL"
"Maria","Young","FOREIGN BANKNOTE TELLER-TRADER"
"Donna","Skinner","SUPERVISOR, FRAME SAMPLE AND PATTERN"
"Warren","Wright","MILLWRIGHT APPRENTICE"
"Evan","Hill","SKIVER"
"Sonia","Sharp","STONE POLISHER, HAND"
"Irene","Metcalfe","PLATER, HOT DIP"
"Rachel","Gibson","MACHINE SETTER-AND-REPAIRER"
"Alexander","Metcalfe","CURATOR"
"William","Blake","DOCUMENT RESTORER"
"Jack","Paige","FARMWORKER, VEGETABLE I"
"Stephen","Pullman","SUPERVISOR, CONCRETE-STONE FABRICATING"
"Stephen","Smith","OIL-WELL-SERVICE OPERATOR"
"Abigail","Young","SECURITIES CLERK"
"Vanessa","Dickens","LINER-MACHINE OPERATOR"
"Gordon","Kelly","CAMOUFLAGE SPECIALIST"
"Sue","Glover","ASSEMBLER, MUSICAL INSTRUMENTS"
"Alan","Chapman","PUBLIC HEALTH PHYSICIAN"
"Lillian","Butler","PULPER TENDER"
"Julian","Bailey","DISPATCHER, OIL WELL SERVICES"
"Ruth","James","TRUSS ASSEMBLER"
"Mary","Hudson","FIELD CASHIER"
"Nicola","Fisher","PRINT-LINE OPERATOR"
"Sean","Mills","CEMENTER, MACHINE JOINER"
"Alison","Sanderson","DIRECTOR, RELIGIOUS EDUCATION"
"Heather","Ross","MASH-FILTER OPERATOR"
"Brandon","Brown","DISPATCHER, BUS AND TROLLEY"
"Kylie","Terry","MANAGER, FLIGHT KITCHEN"
"Jason","Black","SILICA-SPRAY MIXER"
"Dorothy","Robertson","OVEN-PRESS TENDER I"
"Wanda","MacDonald","SUPERVISOR, KOSHER DIETARY SERVICE"
"Elizabeth","Rampling","HOT-CELL TECHNICIAN"
"Andrew","Dickens","BALANCE-BRIDGE ASSEMBLER"
"Simon","Murray","BUNCH TRIMMER, MOLD"
"Lily","Walsh","SMOKER"
"Emily","Bond","SEEDLING SORTER"
"Rebecca","Greene","TAG-PRESS OPERATOR"
"Nicola","Carr","PLASTIC-TOP ASSEMBLER"
"Jacob","Kerr","GARMENT FITTER"
"Boris","Randall","PRESS FEEDER"
"Una","Lyman","STOCK SUPERVISOR"
"Andrea","Ross","NEUTRALIZER"
"Jane","Lawrence","YARN-TEXTURING-MACHINE OPERATOR II"
"Carolyn","Dyer","COMPOUND WORKER"
"Nicola","Quinn","COMPUTER SECURITY SPECIALIST"
"Melanie","Payne","INSPECTOR, RUBBER-STAMP DIE"
"Sophie","Smith","CONTRACT CLERK, AUTOMOBILE"
"Alan","Anderson","SALES-ENGINEER, ELECTRICAL PRODUCTS"
"Sam","Black","ENGRAVING-PRESS OPERATOR"
"Blake","Bond","PAPER-REEL OPERATOR"
"Irene","Rees","TYPING-ELEMENT-MACHINE OPERATOR"
"Benjamin","Bell","MACHINE TESTER"
"Andrew","Buckland","FLANGER"
"Edward","Peake","METAL-BONDING CRIB ATTENDANT"
"Virginia","Skinner","CONCRETE SCULPTOR"
"Jane","Rees","AUTOMOBILE-CLUB-SAFETY-PROGRAM COORDINATOR"
"Jake","Peake","SUPERVISOR, CARPENTERS"
"Harry","Knox","SEEDLING PULLER"
"Joan","Forsyth","CHAIN MAKER, MACHINE"
"Una","Rees","ROTARY-KILN OPERATOR"
"Steven","Murray","PUMPER-GAUGER APPRENTICE"
"Caroline","Churchill","RECORD-CHANGER ASSEMBLER"
"Sarah","Lambert","SUPERVISOR, PLASTICS"
"Lucas","Welch","LABORER, POULTRY FARM"
"Ruth","Newman","TIRE BUFFER"
"Jason","Murray","HANDLE-MACHINE OPERATOR"
"Eric","Rutherford","INSTALLER, MOVABLE BULKHEAD"
"Wanda","Baker","SUBASSEMBLER"
"Jonathan","Parr","NIB FINISHER"
"Jack","Scott","LEAD OPERATOR"
"Una","Jones","NURSE, SUPERVISOR, OCCUPATIONAL HEALTH NURSING"
"Una","Hart","PIPE STEM REPAIRER"
"Lillian","Reid","DECKHAND"
"Sally","Gill","CARDIOLOGIST"
"Amy","Stewart","BARREL FILLER"
"Irene","Johnston","KETTLE TENDER"
"Rose","Dyer","SLICE-PLUG-CUTTER OPERATOR"
"Rose","Cornish","WAVE-SOLDER OFFBEARER"
"Anthony","Lawrence","SALES REPRESENTATIVE, SECURITY SYSTEMS"
"Connor","Mills","PLEAT TAPER"
"Madeleine","Welch","GOODS LAYER"
"Stephen","Harris","STAMPING-MACHINE OPERATOR"
"Lillian","Hunter","REFRIGERATION-MECHANIC HELPER"
"Sarah","Sutherland","FURNITURE DESIGNER"
"Colin","McGrath","PLASTIC-FIXTURE BUILDER"
"Lillian","Reid","BONE-CHAR OPERATOR"
"Max","Bower","DERRICK OPERATOR"
"Benjamin","Terry","BLOWER FEEDER, DYED RAW STOCK"
"David","Ellison","WIRE CHARGER"
"David","Poole","FINISHED-STOCK INSPECTOR"
"Christian","Nolan","FRONT-SIGHT ATTACHER"
"Karen","Morgan","FOREIGN BANKNOTE TELLER-TRADER"
"Colin","Poole","TERRAZZO WORKER"
"Stephen","Bailey","SPIRAL RUNNER"
"Keith","Vance","ORIENTAL-RUG REPAIRER"
"Anne","McLean","TIRE BUILDER"
"Audrey","Murray","SALES REPRESENTATIVE, TOILET PREPARATIONS"
"Piers","Hudson","ENGRAVER, MACHINE"
"Sonia","White","ENGRAVER, BLOCK"
"Amy","Hemmings","SYNTHETIC-FILAMENT EXTRUDER"
"Evan","Henderson","CURB-MACHINE OPERATOR"
"Lily","Ball","ROTARY-ENGINE ASSEMBLER"
"Adrian","Nolan","MILLING-MACHINE TENDER"
"Leonard","Stewart","LEVEL-VIAL SEALER"
"Sue","Edmunds","COATER OPERATOR"
"Elizabeth","Lyman","POWER-BARKER OPERATOR"
"Sonia","Alsop","AUTOMOBILE-SEAT-COVER INSTALLER"
"Madeleine","Forsyth","PAINT-SPRAY INSPECTOR"
"Deirdre","Kerr","TRACKMOBILE OPERATOR"
"Stephen","Parr","DERRICK-BOAT CAPTAIN"
"Christopher","Churchill","SUPERVISOR, STATEMENT CLERKS"
"Alan","Cornish","NEEDLEMAKER"
"Charles","Mathis","GOLF-CLUB WEIGHER"
"Victoria","McLean","CORE SHAPER"
"Jack","Lawrence","COLOR MATCHER"
"Bella","Mills","ROLLER I"
"Colin","Roberts","SUPERVISOR, TRUST ACCOUNTS"
"Gavin","Lawrence","FIRST-BREAKER FEEDER"
"Emma","Simpson","DRILL-PRESS OPERATOR"
"Adam","Rampling","FACING-MACHINE OPERATOR"
"Paul","Sutherland","SHADE MATCHER"
"Connor","Edmunds","LABORER, TIN CAN"
"Andrea","Glover","CARPET CUTTER I"
"Nicola","Churchill","SUPERVISOR, PRINTED CIRCUIT BOARD TESTING"
